site,block,treatment,sppbiomass,Soma de totalAGBiomass, fator , Mg_ha 
ara,1,EUC,EUCALYPTUS,8614.53957, 9.26 , 79.76 
ara,1,NEW,EUCALYPTUS,9116.026376, 9.26 , 84.41 
ara,1,NEW,SEC,408.9624624, 9.26 , 3.79 
ara,1,NNW,PIONEER,615.3229937, 9.26 , 5.70 
ara,1,NNW,SEC,411.2929631, 9.26 , 3.81 
ara,2,EUC,EUCALYPTUS,10686.6749, 9.26 , 98.95 
ara,2,NEW,EUCALYPTUS,9245.180623, 9.26 , 85.60 
ara,2,NEW,SEC,429.889818, 9.26 , 3.98 
ara,2,NNW,PIONEER,590.6759235, 9.26 , 5.47 
ara,2,NNW,SEC,433.9122677, 9.26 , 4.02 
ara,3,EUC,EUCALYPTUS,8916.43469, 9.26 , 82.56 
ara,3,NEW,EUCALYPTUS,10516.65375, 9.26 , 97.38 
ara,3,NEW,SEC,387.7057759, 9.26 , 3.59 
ara,3,NNW,PIONEER,662.3948861, 9.26 , 6.13 
ara,3,NNW,SEC,425.6757968, 9.26 , 3.94 
ara,4,EUC,EUCALYPTUS,12616.57561, 9.26 , 116.82 
ara,4,NEW,EUCALYPTUS,7985.544621, 9.26 , 73.94 
ara,4,NEW,SEC,369.7980044, 9.26 , 3.42 
ara,4,NNW,PIONEER,480.2607668, 9.26 , 4.45 
ara,4,NNW,SEC,354.5769968, 9.26 , 3.28 
ara,5,EUC,EUCALYPTUS,9507.794089, 9.26 , 88.04 
ara,5,NEW,EUCALYPTUS,7217.946312, 9.26 , 66.83 
ara,5,NEW,SEC,314.7695429, 9.26 , 2.91 
ara,5,NNW,PIONEER,649.801084, 9.26 , 6.02 
ara,5,NNW,SEC,376.3247, 9.26 , 3.48 
muc,1,EUC,EUCALYPTUS,8448.343767, 9.26 , 78.23 
muc,1,NEW,EUCALYPTUS,4404.594375, 13.89 , 61.17 
muc,1,NEW,SEC,528.6986447, 6.94 , 3.67 
muc,1,NNW,PIONEER,426.5406992, 9.26 , 3.95 
muc,1,NNW,SEC,584.5044908, 9.26 , 5.41 
muc,2,EUC,EUCALYPTUS,8803.403705, 9.26 , 81.51 
muc,2,NEW,EUCALYPTUS,4103.466785, 13.89 , 56.99 
muc,2,NEW,SEC,506.9252513, 6.94 , 3.52 
muc,2,NNW,PIONEER,370.1253318, 9.26 , 3.43 
muc,2,NNW,SEC,578.6430947, 9.26 , 5.36 
muc,3,EUC,EUCALYPTUS,9425.487312, 9.26 , 87.27 
muc,3,NEW,EUCALYPTUS,5320.555311, 13.89 , 73.90 
muc,3,NEW,SEC,498.0120983, 6.94 , 3.46 
muc,3,NNW,PIONEER,276.1714527, 9.26 , 2.56 
muc,3,NNW,SEC,453.1984497, 9.26 , 4.20 
muc,4,EUC,EUCALYPTUS,13256.63179, 9.26 , 122.75 
muc,4,NEW,EUCALYPTUS,6338.528248, 13.89 , 88.04 
muc,4,NEW,SEC,467.1632497, 6.94 , 3.24 
muc,4,NNW,PIONEER,349.9420435, 9.26 , 3.24 
muc,4,NNW,SEC,516.9266008, 9.26 , 4.79 
oct,1,NEW,EUCALYPTUS,11865.05219, 13.89 , 164.79 
oct,1,NEW,SEC,667.1204251, 11.90 , 7.94 
oct,1,NNW,PIONEER,656.2341187, 12.82 , 8.41 
oct,1,NNW,SEC,822.1196717, 12.82 , 10.54 
oct,2,NEW,EUCALYPTUS,11933.25572, 13.89 , 165.74 
oct,2,NEW,SEC,771.7728595, 11.90 , 9.19 
oct,2,NNW,PIONEER,625.6270032, 12.82 , 8.02 
oct,2,NNW,SEC,803.0503873, 12.82 , 10.30 
oct,3,NEW,EUCALYPTUS,7999.489391, 13.89 , 111.10 
oct,3,NEW,SEC,451.955798, 11.90 , 5.38 
oct,3,NNW,PIONEER,639.8516037, 12.82 , 8.20 
oct,3,NNW,SEC,795.9728717, 12.82 , 10.20 
oct,4,NEW,EUCALYPTUS,11737.36747, 13.89 , 163.02 
oct,4,NEW,SEC,740.8960239, 11.90 , 8.82 
oct,4,NNW,PIONEER,640.7824757, 12.82 , 8.22 
oct,4,NNW,SEC,871.9499887, 12.82 , 11.18 
oct,5,NEW,EUCALYPTUS,11527.62451, 13.89 , 160.11 
oct,5,NEW,SEC,728.7941173, 11.90 , 8.68 
oct,5,NNW,PIONEER,615.68433, 12.82 , 7.89 
oct,5,NNW,SEC,839.7847587, 12.82 , 10.77 
oct,6,NEW,EUCALYPTUS,11701.28689, 13.89 , 162.52 
oct,6,NEW,SEC,695.8934561, 11.90 , 8.28 
oct,6,NNW,PIONEER,662.9578205, 12.82 , 8.50 
oct,6,NNW,SEC,856.70982, 12.82 , 10.98 
